"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs10498345-<b>T</b>,"9 x 10-7",,0.30,2.33,'-,[1.64-3.23],'-,"Coronary spasm","Coronary Vasospasm",'-,GCST000125,14:38551301
rs10861032-<b>C</b>,"1 x 10-7",,NR,'-,'-,'-,"LINC02401, C12orf42","Coronary restenosis","Coronary Restenosis",'-,GCST001214,12:103518728
rs147555597-<b>A</b>,"5 x 10-21",,0.008848,'-,"0.62 unit increase",[0.49-0.75],LPAL2,"Coronary atherosclerosis (PheCode 411.4)","coronary atherosclerosis",'-,GCST90043957,6:160490564
rs2301753-<b>?</b>,"7 x 10-7",,0.883,2.5,'-,[1.75-3.57],RNF39,"Nonobstructive coronary artery disease","non-obstructive coronary artery disease",'-,GCST008436,6:30071463
chr17:30331990-<b>A</b>,"2 x 10-6",,0.053,2.41,'-,[1.68-3.47],'-,"Nonobstructive coronary artery disease","non-obstructive coronary artery disease",'-,GCST008436,"Mapping not available"
chr15:61195932-<b>A</b>,"3 x 10-6",,0.04,2.64,'-,[1.76-3.96],'-,"Nonobstructive coronary artery disease","non-obstructive coronary artery disease",'-,GCST008436,"Mapping not available"
rs8095193-<b>A</b>,"7 x 10-6",,0.222,1.6,'-,[1.30-1.96],PHLPP1,"Nonobstructive coronary artery disease","non-obstructive coronary artery disease",'-,GCST008436,18:63015882
rs12818945-<b>A</b>,"6 x 10-6",(Adjusted),0.047,2.38,'-,[1.63-3.45],ATP2B1,"Nonobstructive coronary artery disease","non-obstructive coronary artery disease",'-,GCST008436,12:89624457
rs4970935-<b>C</b>,"3 x 10-16",,0.25,1.77,'-,[1.54-2.03],"ADAMTSL4-AS2, FALEC","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,1:150531586
rs9349379-<b>A</b>,"5 x 10-14",,0.59,1.71,'-,[1.49-1.97],PHACTR1,"Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,6:12903725
rs11172113-<b>T</b>,"1 x 10-13",,0.59,1.69,'-,[1.47-1.94],LRP1,"Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,12:57133500
rs6700122-<b>T</b>,"1 x 10-6",,0.06,1.77,'-,[1.41-2.24],"QRSL1P1, MIR557","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,1:168383696
rs28451064-<b>G</b>,"1 x 10-9",,0.86,2.18,'-,[1.70-2.81],"LINC00310, KCNE2","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,21:34221526
rs189056-<b>A</b>,"8 x 10-6",,0.36,1.35,'-,[1.18-1.54],"CLDN18, DZIP1L","Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,3:138039318
rs2015637-<b>C</b>,"2 x 10-9",,0.1,1.79,'-,[1.48-2.17],FBN1,"Spontaneous coronary artery dissection","spontaneous coronary artery dissection",'-,GCST010722,15:48424656
rs899162-<b>A</b>,"2 x 10-7",,0.141,3.2,'-,[2.02-5.05],"NEUROG1, TIFAB","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST007192,5:135459219
rs17136627-<b>A</b>,"2 x 10-8",,0.008,12.6,'-,[4.13-38.5],KCNN2,"Coronary arterial lesions in patients with Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST002026,5:114463289
rs7849782-<b>?</b>,"8 x 10-6",,NR,4.03,'-,[NR],GRIN3A,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003192,9:101664982
rs12590437-<b>?</b>,"9 x 10-6",,NR,4.009,'-,[NR],TTC6,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST003192,14:37977887
rs6017006-<b>A</b>,"2 x 10-8",,0.04,5,'-,[2.8-9.0],"RNU6-743P, PPIAP21","Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST90013538,20:43305980
rs7871579-<b>C</b>,"5 x 10-7",,0.15,2.8,'-,[1.8-4.2],MAN1B1,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST90013538,9:137096078
rs2449565-<b>G</b>,"2 x 10-6",,0.61,2.3,'-,[1.6-3.3],DOCK2,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST90013538,5:169708658
rs10762437-<b>G</b>,"4 x 10-6",,0.16,2.5,'-,[1.7-3.8],UNC5B,"Coronary artery aneurysm in Kawasaki disease","coronary aneurysm","mucocutaneous lymph node syndrome",GCST90013538,10:71298712
